category_number;parent_id;category_name;url_image;order_index;is_active;url_deeplink
750;;Żywność;http://shopgate.wellcommerce.pl/design/_gallery/_orginal/1100.jpg;1000;1;http://shopgate.wellcommerce.pl/kategoria/zywnosc
751;;Kosmetyki;;998;1;http://shopgate.wellcommerce.pl/kategoria/kosmetyki
752;;"Artykuły chemiczne";http://shopgate.wellcommerce.pl/design/_gallery/_orginal/1100.jpg;745;1;http://shopgate.wellcommerce.pl/kategoria/artykuly-chemiczne
753;;"Książki i multimedia";http://shopgate.wellcommerce.pl/design/_gallery/_orginal/1102.jpg;992;1;http://shopgate.wellcommerce.pl/kategoria/ksiazki-i-multimedia
754;;Obuwie;http://shopgate.wellcommerce.pl/design/_gallery/_orginal/1103.jpg;991;1;http://shopgate.wellcommerce.pl/kategoria/obuwie
755;;Bielizna;http://shopgate.wellcommerce.pl/design/_gallery/_orginal/1104.jpg;990;1;http://shopgate.wellcommerce.pl/kategoria/bielizna
756;;Ubrania;http://shopgate.wellcommerce.pl/design/_gallery/_orginal/1099.jpg;999;1;http://shopgate.wellcommerce.pl/kategoria/ubrania
758;750;Fruits;;1000;1;http://shopgate.wellcommerce.pl/kategoria/fruits
